term	#occurance	#ratio
 "of" 	1121062	0.0125279177756
"-"	1000373	0.0111792128258
 "in" 	915423	0.0102298927927
 "and" 	690069	0.00771155180669
 "for" 	689124	0.00770099138961
 "the" 	550616	0.00615315832126
 "to" 	462321	0.00516645776411
"free" 	347960	0.00388846849613
"google"	332192	0.00371226039391
 "a" 	327824	0.00366344779939
"the" 	285451	0.00318992763734
 "on" 	240748	0.00269036962153
"http" 	205987	0.00230191389847
 "county" 	194857	0.00217753565281
"how" 	188898	0.00211094356243
 "new" 	150617	0.00168315168261
 "with" 	143095	0.00159909299763
 "com"	142379	0.00159109166574
"ebay"	139207	0.00155564442448
"yahoo"	130538	0.00145876796341
 "pictures"	126753	0.00141647041985
 "lyrics"	124840	0.00139509255965
"new" 	117562	0.00131376058553
"www" 	115608	0.00129192454851
 "is" 	108447	0.0012119000546
 "school" 	106977	0.00119547273914
 ".com"	105135	0.00117488830711
"what" 	102889	0.00114978915708
 "by" 	100236	0.00112014176393
"my" 	98938	0.00110563655613
"american" 	98651	0.00110242931835
"yahoo.com"	97518	0.00108976799289
 "state" 	95700	0.00106945176193
 "games"	88590	0.000989997195287
"mapquest"	88279	0.000986521756437
 "sale"	87030	0.000972564125814
 "from" 	86526	0.000966931903369
"pictures" 	84698	0.00094650392196
 "florida"	82569	0.000922712252147
 "at" 	81378	0.000909402774106
"google.com"	79991	0.000893902987337
 "my" 	79701	0.000890662224423
 "city" 	78755	0.000880090632293
 "you" 	77493	0.000865987726091
 "high" 	77377	0.000864691420925
"myspace.com"	77211	0.000862836363532
 "pics"	77193	0.000862635212731
"yahoo" 	76517	0.000855080882626
"myspace"	74365	0.000831032186788
 "&" 	74088	0.000827936699452
"aol" 	72794	0.000813476191825
 "beach" 	70235	0.000784879252862
 "york" 	69685	0.000778732978368
 "free" 	69537	0.000777079071777
 "i" 	68360	0.00076392604436
 "home" 	67295	0.000752024621931
 "school"	65881	0.00073622310896
 "sex" 	65561	0.000732647094709
"myspace" 	62857	0.000702429774288
"black" 	61820	0.000690841253106
 "news"	61569	0.000688036316928
"map" 	60474	0.000675799643163
 "real" 	60280	0.000673631684523
 "texas"	60181	0.000672525355114
 "your" 	59213	0.000661707912005
 "de" 	58473	0.00065343837905
 "airlines"	57650	0.000644241317398
 "sale" 	57439	0.000641883383002
 "parts"	56133	0.00062728877484
 "photos"	54817	0.000612582416233
 "college"	54277	0.000606547892184
 "center"	52524	0.000586958039116
 "bank"	52430	0.00058590758493
 "sex"	52248	0.000583873726824
 "-" 	51745	0.000578252679424
 "music" 	50127	0.000560171457367
 "do" 	50000	0.000558752226711
 "pages"	49750	0.000555958465578
"florida" 	49563	0.00055386873225
 "day" 	49529	0.000553488780736
 "cards"	49331	0.000551276121918
 "or" 	49073	0.000548392960428
"home" 	48310	0.000539866401449
 "car" 	47971	0.000536078061351
 "girls"	47812	0.000534301229271
 "credit" 	47694	0.000532982574016
 "lottery"	47176	0.000527193900947
 "ny"	46723	0.000522131605773
 "jobs"	46392	0.000518432666032
"john" 	46343	0.00051788508885
 "ohio"	46099	0.000515158377983
"big" 	46085	0.00051500192736
 "2006"	46001	0.000514063223619
 "furniture"	45612	0.000509716131295
 "recipes"	44730	0.000499859742016
"best" 	44376	0.000495903776251
 "that" 	43581	0.000487019615846
 "codes"	43364	0.000484594631182
 "york"	43063	0.000481230942777
 "america"	43043	0.000481007441887
"www.yahoo.com"	43036	0.000480929216575
"used" 	42835	0.000478683032624
"www.google.com"	42597	0.000476023372025
 "san" 	42262	0.000472279732106
 "porn"	42146	0.00047098342694
 "black" 	42016	0.00046953067115
 "music"	41606	0.000464948902891
 "art"	41441	0.000463105020543
 "about" 	40596	0.000453662107912
"hot" 	40560	0.000453259806308
 "pa"	39943	0.000446364803831
 "ca"	39914	0.000446040727539
 "university"	39872	0.000445571375669
"cheap" 	39858	0.000445414925045
"white" 	39817	0.000444956748219
 "california"	39745	0.000444152145013
"internet"	39622	0.000442777614535
 "club"	39239	0.000438497572479
