
overall queries               : 36389567
unique queries                : 10154789
exactly-same-as-before queries: 15381093
overall terms                 : 89485102
unique terms                  : 4553645
numnber of terms per query: (#terms, #queries, #ratio)
(1	13396582	0.368143484642)
(2	9152226	0.251506867339)
(3	6286522	0.172756163875)
(4	3641088	0.100058568985)
(5	1910830	0.0525103802417)
(6	959523	0.0263680796202)
(7	470513	0.0129298872943)
(8	240133	0.00659895183694)
(9	131125	0.00360336796533)
(10	72946	0.00200458554508)
(11	41437	0.00113870549765)
(12	24812	0.000681843782313)
(13	15666	0.000430508007968)
(14	10217	0.000280767286953)
(15	7200	0.000197858908296)
(16	4993	0.000137209656823)
(17	3565	9.79676400107e-05)
(18	3793	0.000104233172107)
(19	2205	6.05942906658e-05)
(20	1648	4.52877056767e-05)
(21	1958	5.38066308951e-05)
(22	1023	2.81124532205e-05)
(23	680	1.86866746724e-05)
(24	595	1.63508403384e-05)
(25	563	1.54714674126e-05)
(26	463	1.27234270196e-05)
(27	406	1.11570439956e-05)
(28	420	1.15417696506e-05)
(29	342	9.39829814408e-06)
(30	303	8.32656239081e-06)
(31	296	8.1341995633e-06)
(32	265	7.28230704147e-06)
(33	258	7.08994421396e-06)
(34	225	6.18309088426e-06)
(35	204	5.60600240173e-06)
(36	171	4.69914907204e-06)
(37	199	5.46860038208e-06)
(38	206	5.66096320959e-06)
(39	192	5.27623755457e-06)
(40	176	4.83655109169e-06)
(41	228	6.26553209605e-06)
(42	255	7.00750300217e-06)
(43	203	5.5785219978e-06)
(44	235	6.45789492356e-06)
(45	268	7.36474825326e-06)
(46	188	5.16631593885e-06)
(47	199	5.46860038208e-06)
(48	239	6.56781653928e-06)
(49	208	5.71592401745e-06)
(50	176	4.83655109169e-06)
(51	158	4.34190382095e-06)
(52	104	2.85796200873e-06)
(53	76	2.08851069868e-06)
(54	93	2.5556775655e-06)
(55	84	2.30835393013e-06)
(56	78	2.14347150654e-06)
(57	47	1.29157898471e-06)
(58	25	6.87010098252e-07)
(59	42	1.15417696506e-06)
(60	67	1.84118706331e-06)
(61	30	8.24412117902e-07)
(62	29	7.96931713972e-07)
(63	21	5.77088482531e-07)
(64	16	4.39686462881e-07)
(65	10	2.74804039301e-07)
(66	18	4.94647270741e-07)
(67	5	1.3740201965e-07)
(68	7	1.9236282751e-07)
(69	9	2.47323635371e-07)
(70	12	3.29764847161e-07)
(71	15	4.12206058951e-07)
(72	13	3.57245251091e-07)
(73	8	2.1984323144e-07)
(74	5	1.3740201965e-07)
(75	7	1.9236282751e-07)
(76	7	1.9236282751e-07)
(77	16	4.39686462881e-07)
(78	46	1.26409858078e-06)
(79	8	2.1984323144e-07)
(80	8	2.1984323144e-07)
(81	11	3.02284443231e-07)
(82	14	3.84725655021e-07)
(83	12	3.29764847161e-07)
(84	18	4.94647270741e-07)
(85	5	1.3740201965e-07)
(86	11	3.02284443231e-07)
(87	13	3.57245251091e-07)
(88	117	3.21520725982e-06)
(89	13	3.57245251091e-07)
(90	7	1.9236282751e-07)
(91	7	1.9236282751e-07)
(92	6	1.6488242358e-07)
(93	5	1.3740201965e-07)
(94	4	1.0992161572e-07)
(95	5	1.3740201965e-07)
(96	4	1.0992161572e-07)
(97	4	1.0992161572e-07)
(98	6	1.6488242358e-07)
(99	8	2.1984323144e-07)
(100	9	2.47323635371e-07)
(101	1	2.74804039301e-08)
(102	1	2.74804039301e-08)
(106	5	1.3740201965e-07)
(107	4	1.0992161572e-07)
(110	1	2.74804039301e-08)
(111	2	5.49608078601e-08)
(112	1	2.74804039301e-08)
(115	1	2.74804039301e-08)
(128	1	2.74804039301e-08)
(131	1	2.74804039301e-08)
(132	5	1.3740201965e-07)
(135	1	2.74804039301e-08)
(138	1	2.74804039301e-08)
(146	2	5.49608078601e-08)
(151	15	4.12206058951e-07)
(152	1	2.74804039301e-08)
(153	4	1.0992161572e-07)
(158	1	2.74804039301e-08)
(162	1	2.74804039301e-08)
(167	2	5.49608078601e-08)
(168	2	5.49608078601e-08)
(193	1	2.74804039301e-08)
(209	1	2.74804039301e-08)
(245	1	2.74804039301e-08)
